deutsch,latein,familie,deutsch_guess,latein_guess,familie_guess,korrekt
Roter Sonnenhut,Echinacea purpurea,Asteraceae,Zinnie,Zinnia elegans,asteraceae,False
Roter Sonnenhut,Echinacea purpurea,Asteraceae,roter Sonnenhut,Echinacea pupurae,asteraceae,False
Roter Sonnenhut,Echinacea purpurea,Asteraceae,roter Sonnenhut,Echinacea pupurea,asteraceae,False
Roter Sonnenhut,Echinacea purpurea,Asteraceae,roter Sonnenhut,Echinacea purpurea,asteraceae,True
Roter Sonnenhut,Echinacea purpurea,Asteraceae,roter Sonnenhut,echinaceae purpurea,asteraceae,False
Roter Sonnenhut,Echinacea purpurea,Asteraceae,roter Sonnenhut,echinacea purpurea,asteraceae,True
Roter Sonnenhut,Echinacea purpurea,Asteraceae,Roter Sonnenhut,Echinacea purpurea,asteraceae,True
